Timestamp,Age,Industry,Job_title,Salary,Additional_compensation,Currency,Other_currency,Country,State,City,Overall_work_experience,Field_years_experience,Education,Gender,Race
2021-04-27T18:15:03.637Z,25-34,Media & Digital,Senior Editor,115000,0,USD,,United States,New York,New York City,8 - 10 years,8 - 10 years,College degree,Woman,Asian or Asian American
2021-04-27T18:15:05.457Z,35-44,Health care,Product Development Analyst,60000,2500,USD,,United States,Oregon,Springfield,21 - 30 years,11 - 20 years,Some college,Woman,White
2021-04-27T18:15:08.057Z,35-44,Government and Public Administration,Environmental Scientist,69000,0,USD,,United States,Iowa,Des Moines,11 - 20 years,8 - 10 years,Master's degree,Woman,White
2021-04-27T18:15:13.570Z,45-54,Transport or Logistics,Accounting Assistant,29120,0,USD,,United States,South Carolina,Moncks Corner,11 - 20 years,5-7 years,Some college,Woman,White
2021-04-27T18:15:15.960Z,25-34,"Marketing, Advertising & PR",Marketing Programs Specialist,76000,5000,USD,,United States,California,Los Angeles,8 - 10 years,2 - 4 years,Master's degree,Woman,White
2021-04-27T18:15:18.491Z,45-54,Insurance,Benefits Consultant,50000,2000,USD,,United States,Wisconsin,Milwaukee metro area,31 - 40 years,21 - 30 years,College degree,Woman,White
2021-04-27T18:15:18.555Z,25-34,Entertainment,"Manager, Scheduling & Planning",70000,5000,USD,,United States,California,Los Angeles,11 - 20 years,8 - 10 years,College degree,Woman,White
2021-04-27T18:15:19.955Z,35-44,Government and Public Administration,Administrative Assistant,49377,5000,USD,,United States,California,Thousand Oaks,8 - 10 years,2 - 4 years,College degree,Woman,White
2021-04-27T18:15:20.719Z,18-24,Computing or Tech,Customer Success Manager,60900,4000,USD,,United States,Massachusetts,Lexington,2 - 4 years,2 - 4 years,College degree,Woman,White
2021-04-27T18:15:22.117Z,55-64,Law,Professional Assistant,90000,9000,USD,,United States,District of Columbia,Washington,31 - 40 years,21 - 30 years,College degree,Woman,White
2021-04-27T18:15:22.857Z,35-44,Computing or Tech,Senior Executive Assistant,120000,12000,USD,,United States,California,San Francisco,5-7 years,5-7 years,College degree,Woman,White
2021-04-27T18:15:22.910Z,55-64,Nonprofits,Director of Finance,60180,0,USD,,United States,Michigan,East Lansing,21 - 30 years,21 - 30 years,College degree,Woman,White
2021-04-27T18:15:26.360Z,25-34,Government and Public Administration,Team Lead,56160,0,USD,,United States,North Dakota,Fargo,8 - 10 years,2 - 4 years,College degree,Woman,White
2021-04-27T18:15:26.712Z,35-44,Law,Senior Director,235000,50000,USD,,United States,California,Bay Area,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,Asian or Asian American
2021-04-27T18:15:27.026Z,35-44,Education (Higher Education),Assistant Professor,64000,0,USD,,United States,Colorado,Colorado Springs,11 - 20 years,11 - 20 years,Master's degree,Woman,White
2021-04-27T18:15:27.802Z,45-54,Business or Consulting,Principal Analyst,185000,25000,USD,,United States,California,San Diego,21 - 30 years,21 - 30 years,College degree,Woman,White
2021-04-27T18:15:28.143Z,35-44,"Accounting, Banking & Finance",Program Financial Analyst,101000,0,USD,,United States,Virginia,Lorton,21 - 30 years,11 - 20 years,Some college,Woman,White
2021-04-27T18:15:28.520Z,25-34,Government and Public Administration,Senior Communications Advisor,69422,0,CAD,,Canada,,Victoria,5-7 years,5-7 years,College degree,Woman,White
2021-04-27T18:15:32.285Z,35-44,Retail,IT,46000,0,USD,,United States,Ohio,"Findlay, OH",11 - 20 years,5-7 years,Some college,Man,White
2021-04-27T18:15:35.759Z,35-44,"Accounting, Banking & Finance",Full service bookkeeper,75000,0,USD,,United States,New Jersey,Roseland,8 - 10 years,5-7 years,College degree,Woman,White
2021-04-27T18:15:37.029Z,25-34,Computing or Tech,Risk Assessment Investigator,65620,6562,EUR,,United Kingdom,,Dublin,8 - 10 years,2 - 4 years,College degree,Woman,"Asian or Asian American, White"
